Gene	Gene Length (bp)	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
EPYC	41345		7	6	147	4.1%	No
EQTN	12497		7	7	147	4.8%	No
ERAL1	6059		7	5	147	3.4%	No
ERCC8	78620		7	7	147	4.8%	No
ERI2	120157		7	6	147	4.1%	No
ERICH4	1610		7	7	147	4.8%	No
ERMARD	30034		7	7	147	4.8%	No
ESD	29025		7	6	147	4.1%	No
ESRRA	11665		7	7	147	4.8%	No
ETV4	51779		7	7	176	4.0%	Yes
EXO1	47182		7	7	147	4.8%	No
EXOSC2	13568		7	7	147	4.8%	No
EXOSC9	15704		7	5	147	3.4%	No
EXTL2	23629		7	6	147	4.1%	No
FABP2	4889		7	7	147	4.8%	No
FAM111B	20231		7	6	147	4.1%	No
FAM114A1	78064		7	7	147	4.8%	No
FAM161A	29296		7	7	147	4.8%	No
FAM187A	1958		7	6	147	4.1%	No
FAM30A	52667		7	6	147	4.1%	No
FAM83F	48581		7	6	147	4.1%	No
FAM83G	36027		7	7	147	4.8%	No
FAR1	64906		7	7	147	4.8%	No
FAS	75793		7	6	176	3.4%	Yes
FASTKD3	9897		7	7	147	4.8%	No
FBXL2	126638		7	7	147	4.8%	No
FBXL5	77299		7	6	147	4.1%	No
FBXO3	33605		7	7	147	4.8%	No
FBXO41	29797		7	5	147	3.4%	No
FCGR1A	9877		7	7	147	4.8%	No
FDXACB1	7188		7	7	147	4.8%	No
FERRY3	50785		7	7	147	4.8%	No
FIRRM	193450		7	6	147	4.1%	No
FKBP1C	1559		7	7	147	4.8%	No
FKBP9	49527		7	7	176	4.0%	No
FLOT2	18405		7	7	147	4.8%	No
FOXF1	4896		7	7	147	4.8%	Yes
FOXL3	4253		7	5	147	3.4%	No
FOXM1	19499		7	7	147	4.8%	No
FPGT	35849		7	7	147	4.8%	No
FRMD4A	818437		7	7	147	4.8%	No
FRMD7	51031		7	7	147	4.8%	No
FRRS1	62666		7	7	147	4.8%	No
FSAF1	17425		7	7	147	4.8%	No
FSHB	4248		7	7	147	4.8%	No
FST	6925		7	7	147	4.8%	No
FUT3	8584		7	7	147	4.8%	No
FYTTD1	50418		7	7	147	4.8%	No
FZD10	3282		7	7	147	4.8%	No
G2E3	60917		7	7	147	4.8%	No
GABRA3	285192		7	6	147	4.1%	No
GALK1	13782		7	6	147	4.1%	No
GALM	75157		7	7	147	4.8%	No
GALNT3	98614		7	7	147	4.8%	No
GALNTL5	63551		7	7	147	4.8%	No
GAN	75941		7	6	147	4.1%	No
GAPT	5656		7	6	147	4.1%	No
GAS2L1	6394		7	7	147	4.8%	No
GCLC	119630		7	7	147	4.8%	No
GFM1	51321		7	7	147	4.8%	No
GFOD1	129833		7	7	147	4.8%	No
GFRA2	121973		7	5	147	3.4%	No
GFRA3	22242		7	7	147	4.8%	No
GGA1	25091		7	7	147	4.8%	No
GH1	1640		7	6	147	4.1%	No
GIMAP2	7945		7	7	147	4.8%	No
GIN1	34227		7	6	147	4.1%	No
GIPC3	8064		7	6	147	4.1%	No
GKN2	7724		7	6	147	4.1%	No
GLMN	53222		7	7	147	4.8%	No
GLRX3	48137		7	7	147	4.8%	No
GM2A	58291		7	7	147	4.8%	No
GNAI2	33071		7	7	147	4.8%	No
GNAQ	315876		7	6	176	3.4%	Yes
GNAT2	18523		7	7	147	4.8%	No
GNB5	76293		7	7	147	4.8%	No
GOLGA6A	12694		7	6	147	4.1%	No
GOLPH3	49608		7	7	147	4.8%	No
GOPC	42274		7	6	176	3.4%	Yes
GPBP1	91848		7	7	147	4.8%	No
GPC1	32441		7	6	147	4.1%	No
GPD1L	63027		7	7	147	4.8%	No
GPR12	5603		7	7	147	4.8%	No
GPR137C	84891		7	6	147	4.1%	No
GPR150	2056		7	6	147	4.1%	No
GPR160	52494		7	7	147	4.8%	No
GPR18	7013		7	7	147	4.8%	No
GPR52	1582		7	7	147	4.8%	No
GPR84	2043		7	7	147	4.8%	No
GPRASP3	32853		7	7	147	4.8%	No
GPSM3	4758		7	7	147	4.8%	No
GRAMD2B	136363		7	7	147	4.8%	No
GRAP2	72638		7	5	147	3.4%	No
GREP1	14040		7	6	147	4.1%	No
GRK1	70518		7	6	147	4.1%	No
GSG1	20152		7	7	147	4.8%	No
GSK3A	16401		7	7	147	4.8%	No
GSTA2	15551		7	7	147	4.8%	No
GSTA3	13063		7	7	147	4.8%	No
GSX2	2976		7	7	147	4.8%	No
GUCA1A	7975		7	7	147	4.8%	No
GUSB	21607		7	7	147	4.8%	No
GZMB	3314		7	7	147	4.8%	No
H1-4	787		7	7	147	4.8%	Yes
HABP4	41177		7	6	147	4.1%	No
HAPSTR1	30026		7	6	147	4.1%	No
HAUS6	49787		7	7	147	4.8%	No
HBD	10980		7	7	147	4.8%	No
HBG2	252418		7	7	147	4.8%	No
HCAR3	2056		7	6	147	4.1%	No
HCN2	27279		7	7	147	4.8%	No
HDAC1	41715		7	7	147	4.8%	Yes
HDAC10	6223		7	7	147	4.8%	No
HDHD5	27778		7	7	147	4.8%	No
HERPUD1	14050		7	7	147	4.8%	Yes
HEXIM2	10002		7	7	147	4.8%	No
HGSNAT	62480		7	7	147	4.8%	No
HLA-DMA	20482		7	5	147	3.4%	No
HLA-DQA1	18884		7	6	147	4.1%	No
HMGCR	27913		7	6	147	4.1%	No
HMMR	31743		7	7	147	4.8%	No
HMOX2	36107		7	7	147	4.8%	No
HNRNPH1	20615		7	7	147	4.8%	No
HOMEZ	27375		7	7	147	4.8%	No
HOOK2	110101		7	7	147	4.8%	No
HOOK3	133636		7	6	147	4.1%	Yes
HOXC8	3785		7	6	147	4.1%	No
HOXD4	1677		7	7	147	4.8%	No
HSDL2	92358		7	7	147	4.8%	No
HSP90AB1	8081		7	6	176	3.4%	Yes
HTR1B	2568		7	7	147	4.8%	No
HTRA1	56357		7	7	147	4.8%	No
HTRA4	14436		7	5	147	3.4%	No
HUS1B	1162		7	7	147	4.8%	No
HYAL2	8843		7	6	147	4.1%	No
HYKK	29809		7	7	147	4.8%	No
ICAM4	1568		7	7	147	4.8%	No
ICOS	24815		7	7	147	4.8%	No
IDH1	29872		7	7	176	4.0%	Yes
IER5	4201		7	7	147	4.8%	No
IFNA21	1024		7	7	147	4.8%	No
IFNGR1	21967		7	6	147	4.1%	Yes
IFT52	56375		7	7	147	4.8%	No
IFT57	61742		7	7	147	4.8%	No
IGF2	29280		7	7	176	4.0%	Yes
IKBIP	31709		7	7	147	4.8%	No
IKZF4	31006		7	5	147	3.4%	No
IL13RA2	16003		7	7	147	4.8%	No
IL21	10959		7	6	147	4.1%	No
IL23A	6237		7	6	147	4.1%	No
IL25	3595		7	7	147	4.8%	No
IL27	12690		7	4	147	2.7%	No
IL2RG	4705		7	7	147	4.8%	No
IMPDH1	17733		7	6	147	4.1%	No
ING4	12849		7	7	147	4.8%	No
INHBC	17279		7	7	147	4.8%	No
INPP1	31076		7	6	147	4.1%	No
INSL4	3886		7	6	147	4.1%	No
INSL5	3537		7	7	147	4.8%	No
INTS6	100188		7	7	147	4.8%	Yes
INTS9	122582		7	7	147	4.8%	No
IP6K2	52351		7	7	147	4.8%	No
IPP	56330		7	6	147	4.1%	No
IQCB1	65695		7	7	147	4.8%	No
IQCF1	8478		7	7	147	4.8%	No
IQCJ	303380		7	7	147	4.8%	No
ISX	21257		7	7	147	4.8%	No
ITGB1	118520		7	7	147	4.8%	No
ITM2C	14610		7	5	147	3.4%	No
IVD	30463		7	7	147	4.8%	No
JADE1	65649		7	7	147	4.8%	No
JAZF1	350420		7	7	147	4.8%	Yes
JUNB	1830		7	6	147	4.1%	No
KAT7	46403		7	6	147	4.1%	Yes
KAT8	16905		7	6	147	4.1%	No
KCNS1	9914		7	7	147	4.8%	No
KCTD20	48377		7	7	147	4.8%	No
KIF22	14671		7	7	147	4.8%	No
KIFC1	19013		7	5	147	3.4%	No
KIFC3	107386		7	7	147	4.8%	No
KLC2	10567		7	7	147	4.8%	No
KLF5	22566		7	7	147	4.8%	Yes
KLHDC1	60532		7	7	147	4.8%	No
KLHL42	23041		7	6	147	4.1%	No
KLK13	9489		7	7	147	4.8%	No
KLK2	19000		7	6	147	4.1%	Yes
KPNA2	11729		7	7	147	4.8%	No
KPNB1	36030		7	6	147	4.1%	No
KREMEN2	4421		7	6	147	4.1%	No
KRT222	10517		7	7	147	4.8%	No
KRTAP4-3	991		7	7	147	4.8%	No
KRTAP4-6	1112		7	7	147	4.8%	No
KRTAP5-8	1185		7	7	147	4.8%	No
KYAT1	62269		7	7	147	4.8%	No
LARP7	20869		7	6	147	4.1%	No
LASP1	52587		7	6	147	4.1%	Yes
LAYN	21466		7	6	147	4.1%	No
LCE1C	1820		7	7	147	4.8%	No
LCE5A	1375		7	7	147	4.8%	No
LCN8	4158		7	6	147	4.1%	No
LDHC	39758		7	7	147	4.8%	No
LDHD	4928		7	7	147	4.8%	No
LDLRAD3	288158		7	7	147	4.8%	No
LEMD2	17947		7	6	147	4.1%	No
LEP	16352		7	7	147	4.8%	No
LHX5	10248		7	6	147	4.1%	No
LHX6	27050		7	6	147	4.1%	No
LIMD1	130948		7	7	147	4.8%	No
LIN54	103011		7	7	147	4.8%	No
LINC01565	10993		7	7	147	4.8%	No
LINC02903	613		7	6	147	4.1%	No
LIPG	38487		7	6	147	4.1%	No
LIPN	19645		7	7	147	4.8%	No
LONP2	118856		7	6	147	4.1%	No
LONRF1	34168		7	6	147	4.1%	No
LONRF3	48312		7	7	147	4.8%	No
LPAR4	11045		7	7	147	4.8%	No
LPGAT1	90218		7	6	147	4.1%	No
LRFN3	11267		7	6	147	4.1%	No
LRP11	45668		7	7	147	4.8%	No
LRRC18	30361		7	6	147	4.1%	No
LRRC2	91713		7	7	147	4.8%	No
LRRC41	42421		7	6	147	4.1%	No
LRRC46	6086		7	6	147	4.1%	No
LRRC47	17953		7	7	147	4.8%	No
LRRC8E	13522		7	7	147	4.8%	No
LSM11	16998		7	6	147	4.1%	No
LTBR	16527		7	7	147	4.8%	No
LYZL2	17984		7	6	147	4.1%	No
MAGEA3	3581		7	7	147	4.8%	No
MAGED1	99351		7	5	147	3.4%	Yes
MAGED2	8417		7	4	147	2.7%	No
MAOA	91915		7	6	147	4.1%	No
MAP2K4	123003		7	6	176	3.4%	Yes
MAPK13	16716		7	7	147	4.8%	No
MARCHF1	859753		7	6	147	4.1%	No
MBP	154857		7	5	147	3.4%	No
MCEMP1	2746		7	6	147	4.1%	No
MCHR1	3540		7	7	147	4.8%	No
MCMBP	63497		7	7	147	4.8%	No
MCOLN2	71533		7	7	147	4.8%	No
MCPH1	241917		7	7	147	4.8%	No
MCU	195585		7	7	147	4.8%	No
MDM2	37370		7	7	176	4.0%	Yes
MED14	87573		7	6	147	4.1%	No
MED16	25589		7	6	147	4.1%	No
MED26	54156		7	6	147	4.1%	No
MEST	20295		7	7	147	4.8%	No
METTL27	8528		7	7	147	4.8%	No
METTL4	33985		7	7	147	4.8%	No
MFSD11	45585		7	7	147	4.8%	No
MFSD8	48236		7	7	147	4.8%	No
MICU2	111491		7	7	147	4.8%	No
MKNK1	59437		7	7	147	4.8%	Yes
MKNK2	23756		7	6	147	4.1%	No
MLKL	29302		7	7	147	4.8%	No
MLN	9331		7	7	147	4.8%	No
MLYCD	52331		7	7	147	4.8%	No
MMADHC	18179		7	6	147	4.1%	No
MOCS3	5112		7	6	147	4.1%	No
MPP7	284298		7	6	147	4.1%	No
MRGPRF	10032		7	5	147	3.4%	No
MRGPRX2	6263		7	6	147	4.1%	No
MROH7-TTC4	100523		7	6	147	4.1%	No
MRPL4	8160		7	6	147	4.1%	No
MS4A15	19871		7	7	147	4.8%	No
MS4A4E	42868		7	6	147	4.1%	No
MTDH	86248		7	6	147	4.1%	No
MTMR12	86020		7	6	147	4.1%	No
MTMR14	52961		7	7	147	4.8%	No
MTNR1A	28776		7	7	147	4.8%	No
MTO1	47659		7	7	147	4.8%	No
MTSS1	178000		7	7	147	4.8%	No
MUTYH	11731		7	7	176	4.0%	Yes
MXRA8	9089		7	7	147	4.8%	No
MYL9	9958		7	7	147	4.8%	No
MYNN	16340		7	7	147	4.8%	No
MYOT	19994		7	7	147	4.8%	No
MYZAP	93465		7	7	147	4.8%	No
NAA15	118588		7	6	147	4.1%	No
NACA2	799		7	7	147	4.8%	No
NAT8	2507		7	6	147	4.1%	No
NCBP3	44089		7	7	147	4.8%	No
NCR3	4323		7	7	147	4.8%	No
NDEL1	81884		7	7	147	4.8%	No
NDOR1	13695		7	7	147	4.8%	No
NDRG4	50783		7	7	147	4.8%	No
NDUFS2	17620		7	7	147	4.8%	No
NELFCD	13926		7	7	147	4.8%	No
NFE2L1	13657		7	7	147	4.8%	No
NFE2L2	174090		7	7	176	4.0%	Yes
NFIB	317141		7	6	147	4.1%	Yes
NFKBIB	9194		7	7	147	4.8%	No
NFYA	29458		7	6	147	4.1%	No
NGFR	19716		7	7	147	4.8%	No
NGLY1	71323		7	7	147	4.8%	No
NHLH1	5776		7	6	147	4.1%	No
NHLRC1	2238		7	7	147	4.8%	No
NIPA1	56727		7	7	147	4.8%	No
NIPAL1	126032		7	7	147	4.8%	No
NIPAL3	63209		7	7	147	4.8%	No
NKX2-2	3048		7	6	147	4.1%	No
NLN	149521		7	7	147	4.8%	No
NMD3	148852		7	7	147	4.8%	No
NME7	235418		7	6	147	4.1%	No
NOL11	26720		7	7	147	4.8%	No
NOM1	23465		7	7	147	4.8%	No
NOP14	25474		7	6	147	4.1%	No
NOXA1	11102		7	6	147	4.1%	No
NPHS2	25459		7	6	147	4.1%	No
NPIPB2	49385		7	5	147	3.4%	No
NRSN2	12956		7	7	147	4.8%	No
NSUN5	6352		7	7	147	4.8%	No
NSUN6	113725		7	6	147	4.1%	No
NT5DC1	148661		7	6	147	4.1%	No
NTSR1	53936		7	7	147	4.8%	No
NUB1	36754		7	7	147	4.8%	No
NUCB2	141909		7	6	147	4.1%	No
NUCKS1	37449		7	6	147	4.1%	No
NUDT6	34272		7	7	147	4.8%	No
NUP50	24093		7	7	147	4.8%	No
NUP85	30100		7	7	147	4.8%	No
NUP88	60497		7	7	147	4.8%	No
OCRL	52713		7	7	147	4.8%	No
ODF2L	49519		7	7	147	4.8%	No
ONECUT1	36026		7	7	147	4.8%	No
ONECUT2	55925		7	7	147	4.8%	Yes
OR1J1	969		7	6	147	4.1%	No
OR2T27	5691		7	6	147	4.1%	No
OR3A2	110152		7	6	147	4.1%	No
OR4C11	5286		7	6	147	4.1%	No
OR4E1	5933		7	5	147	3.4%	No
OR4P4	5197		7	7	147	4.8%	No
OR52B6	1008		7	7	147	4.8%	No
OR56A5	942		7	3	147	2.0%	No
OR5B21	1299		7	7	147	4.8%	No
OR5B3	4411		7	6	147	4.1%	No
OR5P2	969		7	7	147	4.8%	No
OR6B2	939		7	6	147	4.1%	No
OR6B3	9237		7	7	147	4.8%	No
OR7C2	960		7	7	147	4.8%	No
OR9G1	4790		7	6	147	4.1%	No
ORC5	81707		7	7	147	4.8%	No
OSGIN1	35023		7	7	147	4.8%	No
OTUD6B	16900		7	7	147	4.8%	No
OTX1	7780		7	6	147	4.1%	No
OXA1L	6521		7	6	147	4.1%	No
OXTR	19248		7	7	147	4.8%	No
P2RX6	18206		7	6	147	4.1%	No
P4HA1	91173		7	7	147	4.8%	No
PACRG	588369		7	6	147	4.1%	No
PAGE1	8538		7	6	147	4.1%	No
PALMD	49680		7	7	147	4.8%	No
PAQR5	108893		7	7	147	4.8%	No
PAQR7	14391		7	6	147	4.1%	No
PARL	55663		7	7	147	4.8%	No
PARP16	66159		7	7	147	4.8%	No
PARPBP	77410		7	7	147	4.8%	No
PARVB	173729		7	6	147	4.1%	No
PASD1	113065		7	7	147	4.8%	No
PATE1	3589		7	6	147	4.1%	No
PATL1	32426		7	7	147	4.8%	No
PAX6	33183		7	6	147	4.1%	No
PAXBP1	37898		7	6	147	4.1%	No
PCNX4	77223		7	7	147	4.8%	No
PCYT2	10504		7	7	147	4.8%	No
PDGFB	21624		7	7	147	4.8%	Yes
PDGFC	211346		7	7	176	4.0%	No
PDIA4	25617		7	6	147	4.1%	No
PEBP4	286764		7	6	147	4.1%	No
PERCC1	3364		7	6	147	4.1%	No
PEX11A	13020		7	7	147	4.8%	No
PGD	21920		7	6	147	4.1%	No
PHKG2	12884		7	7	147	4.8%	No
PHTF2	158743		7	7	147	4.8%	No
PHYHIP	12399		7	7	147	4.8%	No
PIAS2	116943		7	7	147	4.8%	No
PIAS4	31692		7	7	147	4.8%	No
PIGK	130522		7	7	147	4.8%	No
PIGT	40851		7	7	147	4.8%	No
PIGX	96233		7	7	147	4.8%	No
PIH1D1	7247		7	7	147	4.8%	No
PKM	32794		7	6	147	4.1%	No
PKNOX1	60148		7	6	147	4.1%	No
PKNOX2	269751		7	7	147	4.8%	No
PKP3	12295		7	7	147	4.8%	No
PLAA	44119		7	7	147	4.8%	No
PLK2	6158		7	7	147	4.8%	Yes
PLPPR2	10313		7	7	147	4.8%	No
PMEPA1	63145		7	6	147	4.1%	No
POLG2	19291		7	7	147	4.8%	No
POLR1G	4094		7	6	147	4.1%	No
POU2AF1	103376		7	7	147	4.8%	Yes
POU2AF2	40677		7	7	147	4.8%	No
POU4F2	3582		7	7	147	4.8%	No
POU5F1	16395		7	6	147	4.1%	Yes
PPARA	93832		7	7	147	4.8%	No
PPCS	17269		7	7	147	4.8%	No
PPID	14280		7	6	147	4.1%	No
PPIE	71733		7	7	147	4.8%	No
PPM1A	53338		7	7	147	4.8%	No
PPM1N	14353		7	7	147	4.8%	No
PPME1	83621		7	7	147	4.8%	No
PPP1R1B	9887		7	7	147	4.8%	No
PPP2R2C	243023		7	6	147	4.1%	No
PPP2R2D	58858		7	7	147	4.8%	No
PPP4R2	72396		7	6	147	4.1%	Yes
PRIMA1	70697		7	5	147	3.4%	No
PRKAR1A	39540		7	7	176	4.0%	Yes
PRMT5	8934		7	7	147	4.8%	Yes
PROK1	6210		7	7	147	4.8%	No
PROZ	13766		7	7	147	4.8%	No
PRR22	1787		7	7	147	4.8%	No
PRRX1	76694		7	6	176	3.4%	Yes
PRSS22	5483		7	7	147	4.8%	No
PRSS57	9953		7	7	147	4.8%	No
PSAP	35042		7	6	147	4.1%	No
PSG2	18837		7	6	147	4.1%	No
PSG7	13076		7	7	147	4.8%	No
PSIP1	47138		7	6	176	3.4%	Yes
PSMB4	2386		7	6	147	4.1%	No
PSMD3	17161		7	7	147	4.8%	No
PSME3	19376		7	7	147	4.8%	No
PSMF1	76176		7	7	147	4.8%	No
PSTPIP2	88761		7	7	147	4.8%	No
PTAR1	50490		7	6	147	4.1%	No
PTBP2	102166		7	7	147	4.8%	No
PTGDR2	5018		7	7	147	4.8%	No
PTGDS	6698		7	7	147	4.8%	No
PTGER4	13821		7	7	147	4.8%	No
PTK7	85463		7	7	147	4.8%	Yes
PTPN2	144166		7	7	147	4.8%	Yes
PUF60	14366		7	7	147	4.8%	No
PURG	37914		7	7	147	4.8%	No
PUS1	16697		7	6	147	4.1%	No
PUS10	80119		7	6	147	4.1%	No
PUS7L	40202		7	7	147	4.8%	No
PXMP4	17562		7	7	147	4.8%	No
QTMAN			7	7	147	4.8%	No
R3HCC1	26160		7	7	147	4.8%	No
RAD51D	29302		7	7	147	4.8%	Yes
RAE1	27989		7	7	147	4.8%	No
RAET1G	6244		7	7	147	4.8%	No
RAP1B	61492		7	7	147	4.8%	No
RARB	910046		7	7	147	4.8%	No
RASGEF1B	617852		7	7	147	4.8%	No
RASL11A	4383		7	6	147	4.1%	No
RBM19	149607		7	6	147	4.1%	No
RBM34	30111		7	7	147	4.8%	No
RBM38	17938		7	7	147	4.8%	No
RBPMS	187841		7	6	147	4.1%	No
REC8	9071		7	7	147	4.8%	No
REG4	17564		7	7	147	4.8%	No
REM2	4551		7	7	147	4.8%	No
RETREG3	31111		7	7	147	4.8%	No
RFNG	3930		7	7	147	4.8%	No
RFX8	77754		7	5	147	3.4%	No
RGMB	30640		7	6	147	4.1%	No
RGS17	126824		7	7	147	4.8%	No
RIGI	71047		7	5	147	3.4%	No
RIOK1	28571		7	7	147	4.8%	No
RIPK2	33282		7	7	176	4.0%	No
RMC1	28340		7	7	147	4.8%	No
RNASEH2A	7139		7	7	147	4.8%	Yes
RND3	70817		7	7	147	4.8%	No
RNF138	39691		7	6	147	4.1%	No
RNF139	13753		7	7	147	4.8%	No
RNF186	1255		7	7	147	4.8%	No
RNF214	55276		7	7	147	4.8%	No
RNMT	37897		7	7	147	4.8%	No
RNPEP	23776		7	6	147	4.1%	No
RNPEPL1	15569		7	7	147	4.8%	No
ROPN1B	14295		7	7	147	4.8%	No
RORA	741019		7	7	147	4.8%	No
RPS6KA3	117609		7	2	147	1.4%	No
RRAGD	48120		7	7	147	4.8%	No
RRM1	44226		7	7	147	4.8%	No
RRM2	91028		7	7	147	4.8%	No
RRN3	34290		7	7	147	4.8%	No
RSC1A1	2321		7	6	147	4.1%	No
RUNX1	1216867		7	7	176	4.0%	Yes
RXRA	123488		7	7	147	4.8%	Yes
RXRB	7079		7	7	147	4.8%	No
S100A7L2	1272		7	7	147	4.8%	No
S100PBP	42472		7	5	147	3.4%	No
S1PR5	5190		7	5	147	3.4%	No
SAMD15	15475		7	7	147	4.8%	No
SAMD8	82542		7	7	147	4.8%	No
SAP25	1673		7	5	147	3.4%	No
SARM1	39694		7	6	147	4.1%	No
SARS1	24930		7	7	147	4.8%	No
SCGN	49583		7	7	147	4.8%	No
SCN2B	13834		7	7	147	4.8%	No
SCP2	124423		7	7	147	4.8%	No
SCPEP1	28658		7	7	147	4.8%	No
SCRN3	34349		7	7	147	4.8%	No
SCTR	85463		7	6	147	4.1%	No
SDC2	118381		7	7	147	4.8%	No
SDCBP	30877		7	6	147	4.1%	No
SDHA	38810		7	7	147	4.8%	Yes
SEPTIN10	71361		7	6	147	4.1%	No
SEPTIN8	56428		7	6	147	4.1%	No
SEPTIN9	220028		7	7	176	4.0%	Yes
SERBP1	22606		7	7	147	4.8%	No
SERPINB9	16141		7	6	147	4.1%	No
SERPIND1	13610		7	7	147	4.8%	No
SERPING1	21860		7	7	147	4.8%	No
SERPINH1	11224		7	7	147	4.8%	No
SERTAD2	119385		7	7	147	4.8%	No
SFRP2	8493		7	7	147	4.8%	Yes
SGO1	26190		7	7	147	4.8%	No
SH2D2A	10780		7	7	147	4.8%	No
SH2D6	18316		7	7	147	4.8%	No
SHARPIN	10612		7	4	147	2.7%	No
SHISA4	3909		7	6	147	4.1%	No
SHQ1	112638		7	6	147	4.1%	Yes
SIAE	62595		7	7	147	4.8%	No
SIL1	346838		7	7	176	4.0%	No
SIRPD	23455		7	6	147	4.1%	No
SIRT5	40949		7	7	147	4.8%	No
SLC10A1	21928		7	7	147	4.8%	No
SLC11A1	14866		7	7	147	4.8%	No
SLC15A3	15594		7	7	147	4.8%	No
SLC16A5	28937		7	7	147	4.8%	No
SLC16A6	24242		7	5	147	3.4%	No
SLC18A3	2411		7	7	147	4.8%	No
SLC22A13	12946		7	7	147	4.8%	No
SLC22A15	93578		7	5	147	3.4%	No
SLC22A3	104205		7	7	147	4.8%	No
SLC25A17	49772		7	5	147	3.4%	No
SLC25A53	57796		7	7	147	4.8%	No
SLC2A13	351065		7	7	147	4.8%	No
SLC30A5	37079		7	7	147	4.8%	No
SLC30A9	99966		7	7	147	4.8%	No
SLC33A1	33433		7	7	147	4.8%	No
SLC35A4	4282		7	7	147	4.8%	No
SLC37A1	85447		7	7	147	4.8%	No
SLC38A4	68859		7	7	147	4.8%	No
SLC38A6	133203		7	5	147	3.4%	No
SLC39A11	446766		7	7	147	4.8%	No
SLC39A8	180179		7	7	147	4.8%	No
SLC39A9	64376		7	7	147	4.8%	No
SLC47A1	83650		7	7	147	4.8%	No
SLC52A2	27491		7	6	147	4.1%	No
SLC5A3	32683		7	7	147	4.8%	No
SLCO4A1	43346		7	6	147	4.1%	No
SMAD1	78408		7	7	147	4.8%	No
SMAD5	55903		7	7	147	4.8%	No
SMIM17	14089		7	4	147	2.7%	No
SMPD4	32510		7	7	147	4.8%	No
SMUG1	67732		7	5	147	3.4%	No
SMYD5	13008		7	7	147	4.8%	No
SNAPC1	34119		7	7	147	4.8%	No
SNAPIN	5235		7	7	147	4.8%	No
SNX1	51968		7	7	147	4.8%	No
SOCS5	81823		7	6	147	4.1%	No
SORD	54039		7	6	147	4.1%	No
SOX14	2020		7	7	147	4.8%	No
SOX7	6744		7	7	147	4.8%	No
SPAG4	5785		7	7	147	4.8%	No
SPANXN3	8741		7	6	147	4.1%	No
SPARC	26257		7	7	176	4.0%	No
SPDYE1	12228		7	6	147	4.1%	No
SPDYE3	14671		7	7	147	4.8%	No
SPIC	11662		7	7	147	4.8%	No
SPMAP2	14280		7	6	147	4.1%	No
SPMAP2L	72902		7	6	147	4.1%	No
SPNS1	10328		7	7	147	4.8%	No
SPPL2B	26483		7	5	147	3.4%	No
SPRR3	2110		7	7	147	4.8%	No
SPSB2	18425		7	7	147	4.8%	No
SRFBP1	113606		7	7	147	4.8%	No
SRPK2	288605		7	6	147	4.1%	No
SRPK3	4768		7	6	147	4.1%	No
SRSF7	7896		7	7	147	4.8%	No
SSMEM1	10501		7	6	147	4.1%	No
SSTR2	11624		7	5	147	3.4%	No
ST3GAL2	63287		7	6	147	4.1%	No
STAC3	7736		7	7	147	4.8%	No
STAMBPL1	95774		7	7	147	4.8%	No
STAT5A	24397		7	7	147	4.8%	Yes
STAT6	36736		7	7	147	4.8%	Yes
STEAP1B	309757		7	7	147	4.8%	No
STING1	7408		7	7	147	4.8%	No
STK35	75272		7	7	147	4.8%	No
STRN4	27484		7	7	147	4.8%	No
STUM	60467		7	6	147	4.1%	No
STX18	126605		7	6	147	4.1%	No
STX1A	20487		7	5	147	3.4%	No
STX5	25192		7	7	147	4.8%	No
SUPT16H	32571		7	6	147	4.1%	No
SUPT7L	13033		7	7	147	4.8%	No
SYN2	187645		7	7	147	4.8%	No
SYNCRIP	36285		7	7	147	4.8%	No
TAB1	37283		7	7	147	4.8%	No
TADA2A	72842		7	7	147	4.8%	No
TADA3	13048		7	7	147	4.8%	No
TAF11L12	1720		7	5	147	3.4%	No
TAFA1	541375		7	7	147	4.8%	No
TAFA4	221534		7	6	147	4.1%	No
TAGLN3	15150		7	7	147	4.8%	No
TARDBP	18185		7	6	147	4.1%	No
TAS2R41	924		7	7	147	4.8%	No
TBC1D10B	13428		7	6	147	4.1%	No
TBC1D19	179787		7	6	147	4.1%	No
TBC1D28	10181		7	7	147	4.8%	No
TBCE	85084		7	7	147	4.8%	No
TBL3	10880		7	6	147	4.1%	No
TBP	18569		7	6	147	4.1%	No
TCEAL2	15297		7	7	147	4.8%	No
TCP11L1	66527		7	6	147	4.1%	No
TEAD4	81347		7	7	147	4.8%	No
TEX19	4529		7	6	147	4.1%	No
TFAP2E	22015		7	6	147	4.1%	No
TFAP4	15890		7	6	147	4.1%	No
TFCP2	79482		7	7	147	4.8%	No
TFPI	102024		7	7	147	4.8%	No
TGFB3	24930		7	6	147	4.1%	No
TGIF1	48371		7	6	147	4.1%	No
THOP1	30314		7	7	147	4.8%	No
THRA	35578		7	6	147	4.1%	No
THRB	378604		7	6	147	4.1%	No
TIAL1	25228		7	7	147	4.8%	No
TLR6	34005		7	7	147	4.8%	No
TM4SF4	28698		7	6	147	4.1%	No
TMC4	13156		7	7	147	4.8%	No
TMCO2	5738		7	5	147	3.4%	No
TMEM135	290994		7	7	147	4.8%	No
TMEM139	8304		7	7	147	4.8%	No
TMEM179	130970		7	6	147	4.1%	No
TMEM190	1431		7	7	147	4.8%	No
TMEM202	10066		7	4	147	2.7%	No
TMEM45A	87063		7	7	147	4.8%	No
